Company Name,Website
AYA Bank,https://www.ayabank.com
BAIDURI BANK BERHAD,https://www.baiduri.com.bn
Bank Islam Brunei Darussalam Berhad,https://www.bibd.com.bn
Brunei Gas Carriers Sdn Bhd,https://www.bgc.com.bn
BRUNEI METHANOL COMPANY SDN BHD,https://www.brunei-methanol.com
Jabatan Perdana Menteri,https://www.pmo.gov.bn
MOTTAMA HOLDINGS LTD,https://www.mottamaholdings.com
MUARA MARITIMES SERVICES,https://www.muaramaritimeservices.com
PERBADANAN TABUNG AMANAH ISLAM BRUNEI,https://www.taib.com.bn
SATIUS CO PTE. LTD.,https://www.satius.com.sg
SHWE TAUNG GROUP OF COMPANIES,https://www.shwetaunggroup.com
YOMA BANK LIMITED,https://www.yomabank.com
ARMSTRONG INDUSTRIAL CORPORATION LTD,https://www.armstrong-world.com
BEYONICS TECHNOLOGY LTD,https://www.beyonics.com
BRIDGESTONE ASIA PACIFIC PTE LTD,https://www.bridgestone.com.sg
CEI Pte Ltd,https://www.cei.com.sg
Dou Yee International,https://www.douyee.com
ESCO MICRO PTE LTD,https://www.escomicro.com
ESPRESSIF INC.,https://www.espressif.com
Hoya Vision Care,https://www.hoyavision.com
Interplex Precision Technology (Singapore) Pte. Ltd.,https://www.interplex.com
JEBSEN & JESSEN (SEA) PTE LTD,https://www.jjsea.com
MAKINO ASIA PTE LTD,https://www.makino.com.sg
MEIBAN INTERNATIONAL PTE LTD,https://www.meiban.com
MFS TECHNOLOGY SINGAPORE PTE LTD,https://www.mfstechnology.com
MMI HOLDINGS LTD,https://www.mmi-holdings.com
NANOFILM,https://www.nanofilm.com.sg
NATSTEEL HOLDINGS PTE LTD,https://www.natsteel.com.sg
PCI LTD,https://www.pciltd.com.sg
SHIMANO SINGAPORE PTE LTD,https://www.shimano.com.sg
SINGAPORE AERO ENGINE SERVICES PTE LTD,https://www.singaporeaero.com.sg
Sivantos Pte Ltd,https://www.sivantos.com
SUMITOMO CHEMICAL SINGAPORE PTE LTD,https://www.sumitomo-chem.co.jp/english
SVM SOLUTIONS AND TECHNOLOGIES PTE LTD,https://www.svmsolution.com
TECAN ASIA PTE. LTD.,https://www.tecan.com
UNITED TEST AND ASSEMBLY CENTRE LTD,https://www.utacgroup.com
VENTURE CORPORATION LTD,https://www.venture.com.sg
VOLEX GROUP PLC,https://www.volex.com
ACCOR SA,https://www.accor.com
AirTrunk Pte Ltd,https://www.airtrunk.com
ALLPROPERTY MEDIA PTE LTD,https://www.allproperty.com.sg
ASCENT FUNDS SERVICES PTE LTD,https://www.ascentfundservices.com
BANK OF CHINA AVIATION,https://www.bankofchina.com/sg/
BANYAN TREE HOTELS & RESORTS PTE LTD,https://www.banyantree.com
BOARDROOM LTD,https://www.boardroomlimited.com
C & P HOLDINGS PTE LTD,https://www.cnpholdings.com.sg
CIMB-GK SECURITIES PTE LTD,https://www.cimb.com
CloudPay Asia Pte Ltd.,https://www.cloudpay.com
CMA CGM Asia Pacific Limited,https://www.cma-cgm.com
COGENT HOLDINGS LTD,https://www.cogentholdings.com
Collinson Group,https://www.collinsongroup.com
COMO Hotels & Resorts (Asia) Pte Ltd,https://www.comohotels.com
EQUIS FUNDS GROUP PTE LTD,https://www.equisfg.com
FOO KON TAN LLP,https://www.fookontan.com
G&M PTE LTD,https://www.gandm.com.sg
GENTING INTERNATIONAL SINGAPORE PTE LTD,https://www.rwsentosa.com
Halza Pte Ltd,https://www.halza.com
International baccalaureate,https://www.ibo.org
JAC SINGAPORE PTE LTD,https://www.jac-recruitment.sg
KUMON ASIA & OCEANIA PTE LTD,https://www.kumon.com.sg
"Mizuho Bank, Ltd.",https://www.mizuhogroup.com/singapore
NMG FINANCIAL SERVICES CONSULTING PTE LTD,https://www.nmg-group.com
Pan Pacific Hotels & Resorts Pte Ltd,https://www.panpacific.com
PAVILION ENERGY MANAGEMENT PTE LTD,https://www.pavilionenergy.com
PERSOLKELLY Pte Ltd,https://www.persolkelly.com
PHILLIP CAPITAL PTE LTD,https://www.phillip.com.sg
RAJAH & TANN LLP,https://www.rajahtann.com
SPH MEDIA LIMITED,https://www.sph.com.sg
Sumitomo Mitsui Banking,https://www.smbc.co.jp/global
The Bank of Tokyo-Mitsubishi UFJ,https://www.bk.mufg.jp/global
THE LEARNING LAB,https://www.thelearninglab.com.sg
WILMAR INTERNATIONAL LIMITED,https://www.wilmar-international.com
WORLD TABLE TENNIS PTE LTD,https://www.worldtabletennis.com
ASPIAL CORPORATION LTD,https://www.aspial.com
BEN LINE AGENCIES SINGAPORE PTE LTD,https://www.benlineagencies.com
BW MARITIME PTE LTD,https://www.bw-group.com
CHARLES & KEITH SINGAPORE PTE LTD,https://www.charleskeith.com
CJ LOGISTICS ASIA PTE LTD,https://www.cjlogistics.com
COURTS SINGAPORE LTD,https://www.courts.com.sg
DFS VENTURE SINGAPORE PTE LTD,https://www.dfs.com
DHL EXPRESS SINGAPORE PTE LTD,https://www.dhl.com.sg
DYSTAR SINGAPORE PTE LTD,https://www.dystar.com
EU YAN SANG INTERNATIONAL LTD,https://www.euyansang.com
Executive Ship Management Pte Ltd,https://www.executiveship.com
Global Logistic Properties Limited,https://www.glprop.com
GOODPACK LIMITED,https://www.goodpack.com
Ikano Pte LTD,https://www.ikanoretail.com
KUOK SINGAPORE LIMITED,https://www.kuokgroup.com
LUXASIA PTE LTD,https://www.luxasia.com
MAPLETREE INVESTMENT PTE LTD,https://www.mapletree.com.sg
MENTOR MEDIA LTD,https://www.mentormedia.com
OSIM INTERNATIONAL LTD,https://www.osim.com
PACIFIC INTERNATIONAL LINES PTE LTD,https://www.pilship.com
Petredec Limited,https://www.petredec.com
Razer (Asia-Pacific) Pte Ltd,https://www.razer.com
Rhenus Logistics Holding Asia,https://www.rhenus.com/en/sg
SEA CONSORTIUM PTE LTD,https://www.seacons.com
SWIRE PACIFIC OFFSHORE SERVICES PTE LTD,https://www.swirespo.com
TECK WAH INDUSTRIAL CO LTD,https://www.teckwah.com.sg
Tes-Amm (Singapore) Pte Ltd,https://www.tes-amm.com
THE HOUR GLASS LTD,https://www.thehourglass.com
THOME SHIP MANAGEMENT PTE LTD,https://www.thome.com.sg
WING TAI HOLDINGS LTD,https://www.wingtaiasia.com.sg
YCH GROUP PTE LTD,https://www.ych.com
YTL PowerSeraya Pte. Limited,https://www.ytlpowerseraya.com.sg
ASM Front-End Manufacturing Pte Ltd,https://www.asm.com
Beauty One International,https://www.beautyone.com.sg
BORNEO MOTORS SINGAPORE PTE LTD,https://www.borneomotors.com.sg
CHIP ENG SENG CONTRACTORS (1988) PTE LTD,https://www.chipengseng.com.sg
ConnectedLife Pte Ltd,https://www.connectedlife.io
CORDLIFE PTE LTD,https://www.cordlife.com
CPG CORPORATION PTE LTD,https://www.cpgcorp.com.sg
directasia,https://www.directasia.com
DP ARCHITECTS PTE LTD,https://www.dpa.com.sg
DYSON OPERATIONS PTE LTD,https://www.dyson.com.sg
Exyte,https://www.exyte.net
FAR EAST ORGANIZATION CENTRE PTE LTD,https://www.fareast.com.sg
FULLERTON HEALTHCARE GROUP PTE LTD,https://www.fullertonhealth.com
GOLDBELL ENGINEERING PTE LTD,https://www.goldbell.com.sg
IHH Healthcare Singapore,https://www.ihhhealthcare.com
KULICKE & SOFFA (SEA) PTE LTD,https://www.kns.com
LOGOS Property,https://www.logosproperty.com
MARINA CENTRE HOLDINGS PTE LTD,https://www.marinacentre.com.sg
Maxeon Solar Pte Ltd,https://www.maxeon.com
MOUNT ALVERNIA HOSPITAL,https://www.mtalvernia.sg
MSIG HOLDINGS (ASIA) PTE LTD,https://www.msig.com.sg
OBAYASHI CORPORATION,https://www.obayashi.co.jp/en
PacificLight Power Pte Ltd,https://www.pacificlight.com.sg
Plant Engineering Services Pte Ltd,https://www.plantengineering.com.sg
RAFFLES MEDICAL GROUP,https://www.rafflesmedicalgroup.com
REC Solar Pte. Ltd.,https://www.recgroup.com
SENOKO POWER LTD,https://www.senokoenergy.com
